index,date,year,month,day,meantemp
1,2013-01-01,2013,Jan,1,10
2,2013-01-02,2013,Jan,2,7.4
3,2013-01-03,2013,Jan,3,7.16666666666667
4,2013-01-04,2013,Jan,4,8.66666666666667
5,2013-01-05,2013,Jan,5,6
6,2013-01-06,2013,Jan,6,7
7,2013-01-07,2013,Jan,7,7
8,2013-01-08,2013,Jan,8,8.85714285714286
9,2013-01-09,2013,Jan,9,14
10,2013-01-10,2013,Jan,10,11
11,2013-01-11,2013,Jan,11,15.7142857142857
12,2013-01-12,2013,Jan,12,14
13,2013-01-13,2013,Jan,13,15.8333333333333
14,2013-01-14,2013,Jan,14,12.8333333333333
15,2013-01-15,2013,Jan,15,14.7142857142857
16,2013-01-16,2013,Jan,16,13.8333333333333
17,2013-01-17,2013,Jan,17,16.5
18,2013-01-18,2013,Jan,18,13.8333333333333
19,2013-01-19,2013,Jan,19,12.5
20,2013-01-20,2013,Jan,20,11.2857142857143
21,2013-01-21,2013,Jan,21,11.2
22,2013-01-22,2013,Jan,22,9.5
23,2013-01-23,2013,Jan,23,14
24,2013-01-24,2013,Jan,24,13.8333333333333
25,2013-01-25,2013,Jan,25,12.25
26,2013-01-26,2013,Jan,26,12.6666666666667
27,2013-01-27,2013,Jan,27,12.8571428571429
28,2013-01-28,2013,Jan,28,14.8333333333333
29,2013-01-29,2013,Jan,29,14.125
30,2013-01-30,2013,Jan,30,14.7142857142857
31,2013-01-31,2013,Jan,31,16.2
32,2013-02-01,2013,Feb,1,16
33,2013-02-02,2013,Feb,2,16.2857142857143
34,2013-02-03,2013,Feb,3,18
35,2013-02-04,2013,Feb,4,17.4285714285714
36,2013-02-05,2013,Feb,5,16.625
37,2013-02-06,2013,Feb,6,16.6666666666667
38,2013-02-07,2013,Feb,7,15.6
39,2013-02-08,2013,Feb,8,14
40,2013-02-09,2013,Feb,9,15.4285714285714
41,2013-02-10,2013,Feb,10,15.25
42,2013-02-11,2013,Feb,11,15.875
43,2013-02-12,2013,Feb,12,15.3333333333333
44,2013-02-13,2013,Feb,13,16.2857142857143
45,2013-02-14,2013,Feb,14,17.3333333333333
46,2013-02-15,2013,Feb,15,19.1666666666667
47,2013-02-16,2013,Feb,16,14.4285714285714
48,2013-02-17,2013,Feb,17,13.6666666666667
49,2013-02-18,2013,Feb,18,15.6
50,2013-02-19,2013,Feb,19,15.8571428571429
51,2013-02-20,2013,Feb,20,17.7142857142857
52,2013-02-21,2013,Feb,21,20
53,2013-02-22,2013,Feb,22,20.5
54,2013-02-23,2013,Feb,23,17.4285714285714
55,2013-02-24,2013,Feb,24,16.8571428571429
56,2013-02-25,2013,Feb,25,16.875
57,2013-02-26,2013,Feb,26,17.8571428571429
58,2013-02-27,2013,Feb,27,20.8
59,2013-02-28,2013,Feb,28,19.4285714285714
60,2013-03-01,2013,March,1,17.3333333333333
61,2013-03-02,2013,March,2,19
62,2013-03-03,2013,March,3,19.3333333333333
63,2013-03-04,2013,March,4,17.6
64,2013-03-05,2013,March,5,20.875
65,2013-03-06,2013,March,6,20.8571428571429
66,2013-03-07,2013,March,7,23.4285714285714
67,2013-03-08,2013,March,8,24.1666666666667
68,2013-03-09,2013,March,9,25.4285714285714
69,2013-03-10,2013,March,10,23.1428571428571
70,2013-03-11,2013,March,11,24
71,2013-03-12,2013,March,12,23.5
72,2013-03-13,2013,March,13,21.5
73,2013-03-14,2013,March,14,22.3333333333333
74,2013-03-15,2013,March,15,24.1666666666667
